sprei	spʀɛi
Suzan	sysɑn
gele	xelə
laken	lakən
echtpaar	ɛxtpaːʀ
adopteert	ɑdɔptɪːʀt
tweejarig	tʋeːjaʀəx
weesje	ʋeːsjə
Jeannette	ʒənɛt
onbekende	ɔnbəkɛndə
gekust	xəkʉst
wielerfestijn	ʋiləʀfɛstɛin
verbruikte	fɛʀbʀœyktə
Dries	dʀis
deodorant	deodɔʀɑnt
onverharde	ɔnfɛʀhɑʀdə
DVD	defede
heus	høːs
opzichten	ɔpsɪxtən
pistool	pistoːl
toveren	tofəʀən
takt	tɑkt
verwart	fɛʀʋɑʀt
erudiet	eʀydit 
knort	knɔʀt
varken	fɑʀkən
wei	ʋɛi
karakteristiek	kaʀɑktəʀəstik
