10185-1464086217-1855270,p@st@l,gc@rap,tof@r@,eis,v@rkert,
11437-1464118002-1882038,pistol,x@rapt,tf@r@,eis,v@ker,
11438-1464216308-1950684,p@st@l,x@rapt,tf@r@n,eis,f@rker,
11665-1464189105-1921428,p@st@l,x@rapt,tocf@r@,eis,vrker,
12233-1464368314-2051575,pistol,x@rapt,tf@r@n,eis,v@rker,
12923-1464633583-2157878,pistol,x@rapt,tof@r@n,eis,v@rkert,
13042-1464201366-1933471,pistol,x@rapt,tocf@r@n,eis,v@rker,
15527-1473083725-2482771,pistol,x@rapt,tocf@r@n,eis,vker,
16266-1465212454-2081595,p@st@l,gc@rap,tocf@r@,eis,vrker,
16334-1464158120-1897819,pistol,x@rapt,tof@r@n,eis,vker,
16681-1465974334-2317686,p@st@l,gcrapt,tof@r@,eis,f@rker,
16771-1466359566-2343108,p@st@l,x@rapt,tfr@,eis,f@ker,
1687-1449170443-122266,pistocl,x@rapt,tof@r@,eis,f@kert,
1707-1449563268-469131,p@st@l,x@rapt,tocf@r@,eis,f@rkert,
17301-1472376518-2460167,p@stol,gcrap,tocf@r@,eis,v@rkert,
203-1449162200-100817,p@stol,gc@rapt,tof@r@,eis,vker,
214-1452504705-700251,p@st@l,x@rap,tof@r@,eis,frkert,
2825-1450547088-726201,pst@l,x@rap,tof@r@,eis,frker,
2963-1450721986-755468,pistol,gc@rapt,tof@r@n,eis,f@kert,
298-1449772681-575587,p@st@l,gc@rap,tocf@r@n,eis,v@rkert,
299-1449162270-100558,pst@l,gc@rapt,tof@r@n,eis,f@rker,
3054-1449510114-440180,pistol,gc@rap,tof@r@n,eis,f@ker,
3282-1449506308-435811,pst@l,gc@rap,tfrn,eis,vrker,
333-1449267548-241772,pistol,x@rap,tfr,eis,vker,
3385-1450452925-717136,pistol,x@rap,tof@r@n,eis,v@kert,
3526-1454539132-1315071,p@stol,gc@rapt,tocf@r@,eis,v@rkert,
3966-1452613395-888388,pistol,x@rapt,tof@r@n,eis,v@rkert,
3984-1450772937-760594,pst@l,gc@rapt,tof@r@,eis,frkert,
4111-1450006633-637168,pistol,gcrapt,tocf@r@n,eis,v@rker,
4357-1450305711-704545,pistol,x@rap,tf@r@,eis,vker,
4406-1453646174-926445,pistocl,xrapt,tocf@r@,eis,frkert,
4616-1450898290-770688,p@stol,xrap,tof@r@n,eis,frkert,
4895-1476473663-832228,pst@l,gc@rap,tof@r@,eis,frkert,
4923-1455304287-1435751,p@st@l,gc@rapt,tof@r@n,eis,vkert,
5153-1457518170-1567294,pistol,xrapt,tfrn,eis,v@rker,
5383-1454063415-1073532,pst@l,x@rapt,tocf@r@n,eis,f@kert,
5669-1454600419-1328916,pistocl,gc@rap,tof@r@,eis,v@ker,
6225-1454063971-1074071,pst@l,gc@rapt,tocf@r@n,eis,f@rker,
6259-1455385327-1430873,p@st@l,gc@rap,tfr,eis,f@ker,
7039-1454587915-1323538,pst@l,gcrapt,tof@r@,eis,frkert,
7140-1454521823-1298413,p@st@l,xrapt,tof@r@,eis,v@rker,
7275-1456400905-1518808,pistol,gc@rapt,tocf@r@n,eis,vker,
7470-1455107673-1402853,pistocl,gc@rapt,tocf@r@n,eis,f@rker,
7790-1456080238-1492047,p@st@l,x@rapt,tof@r@n,eis,f@rkert,
7955-1463166163-1813013,p@stol,gcrap,tof@r@,eis,frker,
7961-1456583854-1532445,pistol,gc@rapt,tocf@r@,eis,v@ker,
8404-1458302316-1677901,pst@l,x@rapt,tocf@r@,eis,f@rker,
8674-1457955375-1638927,p@stol,gcrap,tocf@r@,eis,f@rkert,
8763-1458206512-1672042,p@st@l,gc@rapt,tof@r@n,eis,f@ker,
8834-1458058553-1660968,p@stol,xrap,tof@r@,eis,vrker,
8937-1460648729-1762454,p@stol,gcrap,tof@r@,eis,frker,
8963-1458485803-1689682,pistol,gc@rap,tof@r@n,eis,vker,
9363-1462391548-1799837,p@st@l,x@rapt,tof@r@n,eis,f@kert,
9789-1465021421-2229467,p@st@l,gc@rap,tof@r@n,eis,f@rkert,
9935-1464219361-1952044,pistol,xrap,tf@r@,eis,vkert,
